maturity_days,strike,iv
20,145.0,1.0271044738769533
20,150.0,0.8471694970703124
20,155.0,0.8254411987304686
20,160.0,0.7543969873046875
20,165.0,0.6977569287109376
20,170.0,0.611576149902344
20,175.0,0.5180712255859375
20,180.0,0.5317429638671876
20,185.0,0.5002491381835938
20,190.0,0.4901174035644532
20,195.0,0.47119669433593747
20,200.0,0.45508357421875
20,205.0,0.44360907958984375
20,210.0,0.43469803588867195
20,215.0,0.4285945812988281
20,220.0,0.42774009765625004
20,225.0,0.43201251586914063
20,230.0,0.43408769042968753
20,235.0,0.4445856323242187
20,240.0,0.45337460693359377
20,245.0,0.4650932397460938
20,250.0,0.47900911621093745
20,255.0,0.49609878906250005
20,260.0,0.5097705273437501
20,265.0,0.524418818359375
41,145.0,0.7263210961914062
41,150.0,0.6955596850585939
41,155.0,0.6569858520507813
41,160.0,0.5952188916015625
41,165.0,0.5762981823730469
41,170.0,0.5407760766601564
41,175.0,0.521367091064453
41,180.0,0.5192919165039063
41,185.0,0.49121602539062503
41,190.0,0.46716841430664063
41,195.0,0.45465633239746095
41,200.0,0.444768735961914
41,205.0,0.4364070031738281
41,210.0,0.4272518212890626
41,215.0,0.4227962994384765
41,220.0,0.42383388671875
41,225.0,0.4200497448730469
41,230.0,0.4206600903320313
41,235.0,0.4225521612548828
41,240.0,0.4234676794433594
41,245.0,0.42847251220703125
41,250.0,0.4334773449707031
41,255.0,0.44043528320312497
41,260.0,0.44873598144531246
41,265.0,0.45703667968750006
76,145.0,0.6683382775878908
76,150.0,0.5985147570800782
76,155.0,0.5897257824707032
76,160.0,0.5538985040283204
76,165.0,0.5374802111816408
76,170.0,0.5219774365234374
76,175.0,0.5104419073486328
76,180.0,0.5031177618408205
76,185.0,0.48932395446777355
76,190.0,0.47937532348632805
76,195.0,0.4710135906982422
76,200.0,0.4637504797363281
76,205.0,0.45856254333496105
76,210.0,0.454107021484375
76,215.0,0.45035339691162113
76,220.0,0.44751529052734373
76,225.0,0.44598942687988286
76,230.0,0.4433039068603516
76,235.0,0.44275459594726563
76,240.0,0.4420221813964844
76,245.0,0.44507390869140623
76,250.0,0.4419001123046875
76,255.0,0.4461725305175781
76,260.0,0.4467828759765625
76,265.0,0.4519097778320313
104,145.0,0.6097451135253908
104,150.0,0.5881999188232423
104,155.0,0.5717816259765626
104,160.0,0.5357712438964843
104,165.0,0.5379074530029297
104,170.0,0.5255784747314454
104,175.0,0.5038501763916017
104,180.0,0.5025074163818359
104,185.0,0.5008594836425782
104,190.0,0.493291199951172
104,195.0,0.4876149871826172
104,200.0,0.4823965335083008
104,205.0,0.4776053216552735
104,210.0,0.47318031707763675
104,215.0,0.4714408325195312
104,220.0,0.4691825543212891
104,225.0,0.46759565612792964
104,230.0,0.4646049633789063
104,235.0,0.4652763433837891
104,240.0,0.4637504797363281
104,245.0,0.46405565246582037
104,250.0,0.46405565246582037
104,255.0,0.46234668518066413
104,260.0,0.46533737792968755
104,265.0,0.46411668701171876
195,144.0,0.5701947277832031
195,145.0,0.56836369140625
195,146.0,0.5713543841552735
195,148.0,0.5643354113769532
195,150.0,0.5617719604492188
195,152.0,0.5548750567626954
195,154.0,0.5484664294433594
195,155.0,0.547001600341797
195,156.0,0.5485884985351563
195,158.0,0.5481612567138674
195,160.0,0.5337571038818358
195,162.0,0.541264353027344
195,164.0,0.5288743402099609
195,165.0,0.5359848648071289
195,166.0,0.5318650329589845
195,167.0,0.5293320993041993
195,168.0,0.5288743402099609
195,169.0,0.5272264074707032
195,170.0,0.5255174401855469
195,171.0,0.52579209564209
195,172.0,0.5228319201660157
195,173.0,0.5198412274169921
195,174.0,0.5198107101440429
195,175.0,0.5186510537719727
195,176.0,0.5173998455810547
195,177.0,0.5165453619384766
195,178.0,0.5146227737426757
195,179.0,0.5126086337280272
195,180.0,0.5129138064575195
195,181.0,0.5097705273437501
195,182.0,0.5103808728027344
195,183.0,0.5089465609741212
195,184.0,0.5093127682495118
195,185.0,0.5072681109619142
195,186.0,0.5069629382324219
195,187.0,0.5060779373168945
195,188.0,0.503758624572754
195,189.0,0.5036365554809571
195,190.0,0.5020496572875978
195,191.0,0.507542766418457
195,192.0,0.5066272482299804
195,193.0,0.5056506954956054
195,194.0,0.5036670727539063
195,195.0,0.5025074163818359
195,200.0,0.49799085998535164
195,205.0,0.4947255117797852
195,210.0,0.4918568881225587
195,212.0,0.4926198199462891
195,213.0,0.49161274993896487
195,214.0,0.4905446453857423
195,215.0,0.4902089553833009
195,216.0,0.49063619720458984
195,217.0,0.49014792083740244
195,218.0,0.48956809265136725
195,219.0,0.4881032635498047
195,220.0,0.4873708489990235
195,221.0,0.4874013662719727
195,222.0,0.48734033172607427
195,223.0,0.48636377899169925
195,224.0,0.48615015808105466
195,225.0,0.48505153625488284
195,226.0,0.48550929534912113
195,227.0,0.48508205352783207
195,228.0,0.48456325988769533
195,230.0,0.4841665353393555
195,235.0,0.4822744644165039
195,240.0,0.48114532531738285
195,245.0,0.48093170440673827
195,250.0,0.47995515167236324
195,255.0,0.4791922198486328
195,260.0,0.4787344607543945
195,265.0,0.4787039434814453
286,145.0,0.5666547241210937
286,150.0,0.5597883377075196
286,155.0,0.5483748776245119
286,160.0,0.5413253875732424
286,165.0,0.534459001159668
286,170.0,0.5285996847534181
286,175.0,0.5224046783447265
286,180.0,0.5162707064819335
286,185.0,0.5105639764404297
286,190.0,0.5075122491455077
286,195.0,0.5054370745849608
286,200.0,0.5007374145507812
286,205.0,0.5038196591186525
286,210.0,0.5011341390991212
286,215.0,0.4984486190795898
286,220.0,0.4964955136108399
286,225.0,0.4953053399658204
286,230.0,0.4935353381347657
286,235.0,0.4926198199462891
286,240.0,0.49121602539062503
286,245.0,0.49075826629638675
286,250.0,0.48993429992675785
286,255.0,0.48944602355957045
286,260.0,0.4886830917358399
286,265.0,0.48837791900634775
376,145.0,0.5655866195678713
376,150.0,0.5568586795043947
376,155.0,0.5417831466674806
376,160.0,0.540287800292969
376,165.0,0.5353440020751954
376,170.0,0.5317124465942383
376,175.0,0.5250291638183593
376,180.0,0.5206804524230957
376,185.0,0.5195055374145507
376,190.0,0.5141344973754882
376,195.0,0.5128069960021973
376,200.0,0.5099994068908693
376,205.0,0.5085803536987304
376,210.0,0.5033313827514648
376,215.0,0.5019581054687501
376,220.0,0.503209313659668
376,225.0,0.5031787963867188
376,230.0,0.5015613809204101
376,235.0,0.5008594836425782
376,240.0,0.49869275726318363
376,245.0,0.49805189453125004
376,250.0,0.4966175827026368
376,255.0,0.4968312036132813
376,260.0,0.49503068450927734
376,265.0,0.49561051269531253
